,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
59,Luke List,77,"5,436",12.094,"47,257",154,548,"1,075",931,"1,386",-0.26,-17.737,65,.427,.277,.004,28.364,65,27,0,2,"4,708",,,,,2016
60,Daniel Summerhays,99,"7,008",- 1.660,"52,423",182,810,"1,381","1,123","1,782",-0.30,46.747,79,-.126,-.257,.027,18.619,79,28,0,2,"4,214",,,,1,2016
61,Johnson Wagner,86,"6,063",24.159,"49,779",172,736,"1,204","1,074","1,548",-0.25,20.728,76,.030,.219,-.154,27.996,76,26,0,3,"4,381",,,,,2016
62,Ricky Barnes,93,"6,542",40.929,"53,488",186,705,"1,299","1,101","1,674",-0.29,30.827,80,-.518,.200,.227,23.560,80,29,0,4,"4,345",,,,,2016
63,Colt Knost,86,"6,093",- 5.509,"44,236",164,881,"1,201","1,010","1,548",-0.25,28.051,71,-.294,.228,-.131,22.586,71,26,0,3,"4,386",,,,2,2016
64,Tony Finau,95,"6,721",4.720,"56,820",182,697,"1,328","1,113","1,710",-0.29,-6.838,78,.365,-.247,-.045,9.997,78,28,1,2,"3,875",,1,,,2016
65,Freddie Jacobson,86,"6,073",16.539,"48,219",172,709,"1,201","1,004","1,548",-0.28,35.039,72,-.223,-.059,.050,5.214,72,26,0,3,"4,475",,,,,2016
66,Patrick Rodgers,85,"6,000",20.837,"51,088",170,686,"1,188","1,059","1,530",-0.26,-13.719,71,.356,-.009,.157,22.099,71,28,0,3,"4,362",,,,1,2016
67,Stewart Cink,61,"4,300",21.580,"33,842",114,497,851,773,"1,098",-0.25,-19.512,49,-.049,.492,.017,3.014,49,19,0,,"4,858",,,,,2016
68,Billy Hurley III,66,"4,676",- .160,"36,657",132,602,921,745,"1,188",-0.27,25.520,59,-.206,.226,-.104,20.559,59,20,1,2,"4,068",,1,,,2016
69,Robert Garrigus,65,"4,574",31.105,"39,128",129,490,909,811,"1,170",-0.29,-10.975,55,.350,.734,-.286,35.010,55,21,0,3,"4,631",,,,,2016
